electoral_district_number,electoral_district_name,electoral_district_name_fr
10001,Avalon,Avalon
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame
10004,Labrador,Labrador
10005,Long Range Mountains,Long Range Mountains
10006,St. John's East,St. John's-Est
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl
11001,Cardigan,Cardigan
11002,Charlottetown,Charlottetown
11003,Egmont,Egmont
11004,Malpeque,Malpeque
12001,Cape Breton--Canso,Cape Breton--Canso
12002,Central Nova,Nova-Centre
12003,Cumberland--Colchester,Cumberland--Colchester
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour
12005,Halifax,Halifax
12006,Halifax West,Halifax-Ouest
12007,Kings--Hants,Kings--Hants
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook
12009,South Shore--St. Margarets,South Shore--St. Margarets
12010,Sydney--Victoria,Sydney--Victoria
12011,West Nova,Nova-Ouest
13001,Acadie--Bathurst,Acadie--Bathurst
13002,Beauséjour,Beauséjour
13003,Fredericton,Fredericton
13004,Fundy Royal,Fundy Royal
13005,Madawaska--Restigouche,Madawaska--Restigouche
13006,Miramichi--Grand Lake,Miramichi--Grand Lake
13007,Moncton--Riverview--Dieppe,Moncton--Riverview--Dieppe
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest
13009,Saint John--Rothesay,Saint John--Rothesay
13010,Tobique--Mactaquac,Tobique--Mactaquac
24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou
24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue
24003,Ahuntsic-Cartierville,Ahuntsic-Cartierville
24004,Alfred-Pellan,Alfred-Pellan
24005,Argenteuil--La Petite-Nation,Argenteuil--La Petite-Nation
24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia
24007,Beauce,Beauce
24008,Beauport--Limoilou,Beauport--Limoilou
24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel
24010,Bellechasse--Les Etchemins--Lévis,Bellechasse--Les Etchemins--Lévis
24011,Beloeil--Chambly,Beloeil--Chambly
24012,Berthier--Maskinongé,Berthier--Maskinongé
24013,Thérèse-De Blainville,Thérèse-De Blainville
24014,Pierre-Boucher--Les Patriotes--Verchères,Pierre-Boucher--Les Patriotes--Verchères
24015,Bourassa,Bourassa
24016,Brome--Missisquoi,Brome--Missisquoi
24017,Brossard--Saint-Lambert,Brossard--Saint-Lambert
24018,Rimouski-Neigette--Témiscouata--Les Basques,Rimouski-Neigette--Témiscouata--Les Basques
24019,Charlesbourg--Haute-Saint-Charles,Charlesbourg--Haute-Saint-Charles
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix
24021,Châteauguay--Lacolle,Châteauguay--Lacolle
24022,Chicoutimi--Le Fjord,Chicoutimi--Le Fjord
24023,Compton--Stanstead,Compton--Stanstead
24024,Dorval--Lachine--LaSalle,Dorval--Lachine--LaSalle
24025,Drummond,Drummond
24026,Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine
24027,Gatineau,Gatineau
24028,Hochelaga,Hochelaga
24029,Honoré-Mercier,Honoré-Mercier
24030,Hull--Aylmer,Hull--Aylmer
24031,Joliette,Joliette
24032,Jonquière,Jonquière
24033,La Pointe-de-l'Île,La Pointe-de-l'Île
24034,La Prairie,La Prairie
24035,Lac-Saint-Jean,Lac-Saint-Jean
24036,Lac-Saint-Louis,Lac-Saint-Louis
24037,LaSalle--Émard--Verdun,LaSalle--Émard--Verdun
24038,Laurentides--Labelle,Laurentides--Labelle
24039,Laurier--Sainte-Marie,Laurier--Sainte-Marie
24040,Laval--Les Îles,Laval--Les Îles
24041,Longueuil--Charles-LeMoyne,Longueuil--Charles-LeMoyne
24042,Lévis--Lotbinière,Lévis--Lotbinière
24043,Longueuil--Saint-Hubert,Longueuil--Saint-Hubert
24044,Louis-Hébert,Louis-Hébert
